acoustic_data,time_to_failure
0,6.1653996057
-4,0.96239679629
3,4.7213974013
3,6.549698113
12,0.28669982763
5,7.2628974876
7,1.1551975476
6,9.197899825
8,1.1701970099
4,7.5921969899
7,5.9960981622
6,15.876496643
6,3.1095980259
3,9.2498963157
7,1.7634970009
3,9.2143958724
5,10.943999429
2,4.1550983353
10,5.5838985383
1,4.2341961088
1,8.1667986994
4,2.6030965478
11,5.0686984863
7,2.8520962079
6,4.7896976332
8,11.725796611
5,8.1233997106
0,10.775898731
7,7.1508983939
5,5.685396158
5,6.5793977856
10,0.0053979937679
3,2.1589959385
8,2.2167998642
1,0.30729853012
-1,9.0370981744
5,2.3456960151
7,6.7734984168
9,5.1922955793
0,7.7990967
9,1.5138975733
3,9.972499202
4,9.8043970911
4,6.2259994749
0,2.2785994517
3,11.406198376
-3,1.4289980534
-5,7.0497960971
1,4.9525961451
4,1.3577958021
1,8.410395978
0,9.0983998962
0,1.3501984899
15,1.0911960899
4,10.01019997
8,3.1281956123
8,7.7092979792
4,8.5991968663
4,11.154495744
8,1.6077980461
17,3.723495868
1,5.4935965907
5,7.7448966007
4,0.35439984636
12,9.5101961188
5,4.4438966135
2,7.2766998286
6,3.8192960429
8,8.593996124
-3,9.7488966116
8,8.8359999201
7,4.9742986232
4,5.1142995053
3,1.4966966592
6,13.302698324
4,7.1564999637
8,4.8379968716
4,13.936898375
-2,6.3058966992
5,7.3209984086
8,7.5915998418
1,4.8519999325
13,11.748197074
5,5.3116963806
5,4.9546989608
0,14.284697087
4,10.88799841
5,4.7898965602
15,1.6294999189
4,4.0102998501
-1,6.9277988997
3,1.7924988522
5,8.3747984494
1,8.220899862
1,4.2374986484
-1,0.19449557882
2,12.095198821
7,4.9590976525
3,2.0585999812
6,4.8279975485
6,10.849197159
5,4.4928964792
2,6.8793989895
6,3.8277989282
-2,6.6727961228
-6,1.1264982967
-3,5.5259966761
-7,6.717598214
4,15.384998806
6,3.8693979719
1,1.6944986213
11,12.216299933
-3,0.069895925475
1,2.1508962035
2,8.7605977376
3,10.022397458
4,3.0702959002
6,4.9779985872
4,0.14309730863
-2,2.8319993139
4,4.27669632
-3,3.8427991357
3,10.453299216
3,3.6835970711
-1,3.2415980401
5,14.191196442
-12,4.1655982521
5,3.8895976903
3,11.161897618
4,12.049297485
3,10.751398741
9,6.9092957128
6,4.8678976706
9,4.5933991428
2,6.1198993003
4,3.2928964766
4,3.0629994088
-1,9.9906955181
8,4.1864990249
-4,5.774496011
-2,5.0614974609
6,5.8754971276
3,8.9110971859
4,1.7534961425
4,6.3078985508
5,5.9181980163
8,6.0325976829
3,1.0986990137
5,7.198099289
6,2.5302992132
8,7.3385985003
2,1.5454987896
4,2.3764955643
6,13.465497972
2,4.8136967008
6,1.6114978765
6,5.3620964102
-3,3.9907996816
3,0.13319840253
3,4.4589998349
6,5.9324979352
0,10.44809589
7,0.83009573052
5,3.0170966361
7,3.6250958468
0,1.5808962093
3,2.654395726
4,6.5324988031
2,6.5677973166
7,5.8453971036
0,2.1709978817
6,5.3700991109
3,10.044697672
9,4.3124957141
3,4.9079972906
8,9.6296988522
2,4.1198992253
-9,2.4302961992
8,6.6868963717
3,3.1629988973
4,14.390098288
6,9.8697971605
6,5.3636973784
-21,4.4450985882
2,5.8918971033
2,3.4211974607
7,8.0125970992
6,13.108097949
2,8.5099973904
-2,5.1061961618
10,6.0983972092
3,4.1704984588
11,4.1972991903
7,1.6230990675
2,5.0065993095
7,3.2770987306
3,7.6193972508
5,4.1241969362
5,6.1577995397
8,10.713598731
-2,8.5518955809
5,5.3641962772
2,2.1801989011
3,8.3816972746
6,3.5981982366
4,9.7000955141
19,1.4039983727
-33,7.2071972935
3,4.1513980184
6,6.5532979471
4,6.3109978157
4,4.9440980393
4,0.30439848936
-2,3.9166970792
4,9.5871972265
7,0.16559844284
8,0.027398043664
8,2.8005958934
16,2.232296027
3,5.621296396
8,0.42039687346
3,13.144297178
6,10.733098374
4,7.6560984159
5,6.0616967118
10,0.15389589577
3,5.3810988189
1,4.7161969064
6,9.2136989182
12,5.9677964931
9,5.503099002
-4,1.9521971608
1,8.9700964059
9,9.2681957227
5,3.9600000098
4,9.6771993088
10,1.4178965349
5,5.5217994803
0,4.006199509
6,2.5500970977
12,1.1652985014
3,7.9922980628
3,8.6615966097
0,0.49439970618
6,1.3577977003
6,0.51329716123
6,7.7213995809
4,1.0825991855
6,5.2987993206
1,0.77869559881
7,12.392998494
10,6.4344996868
6,5.5151972253
11,5.5886954917
1,1.7668956323
-1,13.856099045
9,5.7849968599
8,3.8421992704
3,7.3994970427
7,11.034299261
7,2.263298034
5,4.810499454
1,2.3094966061
0,12.411196649
4,2.7253977984
21,3.3776976632
5,4.2110983356
8,5.6116984728
5,7.1139994673
4,11.005695961
5,10.812899212
5,4.7828966039
1,4.1162967083
2,0.071798303033
2,9.7957971245
9,7.4996974923
3,6.4705962471
2,4.7228964392
-1,4.8071981832
